,Unnamed: 0,UNITID,INSTNM,CITY,STABBR,REGION,LATITUDE,LONGITUDE,PREDDEG,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,ADM_RATE,SAT_AVG,ACTCMMID,School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
120,2481,194824,RENSSELAERPOLYTECHNICINSTITUTE,Troy,NY,2,42.728983,-73.678768,3,64198.0,,49341.0,49341.0,,0.8123,0.8283,0.5938,0.7324,0.8382,0.3333,0.6667,0.7447,0.7818,0.8261,0.4187,1368.0,30.0,Rensselaer Polytechnic Institute (RPI),Engineering,"$61,100.00","$110,000.00","$71,600.00","$85,500.00","$140,000.00","$182,000.00"
121,2484,195003,ROCHESTERINSTITUTEOFTECHNOLOGY,Rochester,NY,2,43.090325,-77.67520999999998,3,49013.0,,37124.0,37124.0,,0.6758,0.7034,0.5346,0.5617,0.6142,0.5,,,0.7931,0.6145,0.5727,1251.0,29.0,Rochester Institute of Technology (RIT),Engineering,"$48,900.00","$84,600.00","$45,000.00","$62,100.00","$112,000.00","$159,000.00"
122,2500,195474,SIENACOLLEGE,Loudonville,NY,2,42.718586,-73.75153,3,48809.0,,33415.0,33415.0,,0.7509999999999999,0.753,0.6667,0.6939,0.8846,1.0,,0.8182,0.875,0.5455,0.7602,,,Siena College,Liberal Arts,"$45,500.00","$85,200.00","$38,700.00","$58,400.00","$129,000.00","$189,000.00"
123,2501,195526,SKIDMORECOLLEGE,Saratoga Springs,NY,2,43.092696,-73.785108,3,62750.0,,49120.0,49120.0,,0.8597,0.8543,0.875,0.9167,1.0,0.0,1.0,0.8182,0.9474,0.6471,0.365,1239.0,28.0,Skidmore College,Liberal Arts,"$41,600.00","$74,600.00",,"$42,800.00","$147,000.00",
124,2521,196097,STONYBROOKUNIVERSITY,Stony Brook,NY,2,40.913138,-73.123595,3,22000.0,,8855.0,23935.0,,0.6834,0.6471,0.7115,0.585,0.76,0.0,,,0.6927,0.6752,0.4099,1271.0,29.0,Stony Brook University,State,"$49,500.00","$93,000.00","$47,200.00","$67,100.00","$129,000.00","$181,000.00"
125,2560,197133,VASSARCOLLEGE,Poughkeepsie,NY,2,41.685105,-73.894345,3,63390.0,,51250.0,51250.0,,0.9058,0.9047,0.8529,0.9041,0.9483,0.0,,0.9167,0.9211,,0.2573,1405.0,32.0,Vassar College,Liberal Arts,"$46,000.00","$94,600.00",,"$60,600.00","$123,000.00",
126,2582,197869,APPALACHIANSTATEUNIVERSITY,Boone,NC,5,36.214844,-81.680234,3,19359.0,,6852.0,20677.0,,0.7097,0.7185,0.6627,0.7073,0.6563,0.25,1.0,0.5517,0.6,0.5,0.6638,1157.0,26.0,Appalachian State University,State,"$40,400.00","$69,100.00","$37,200.00","$50,400.00","$90,800.00","$115,000.00"
127,2608,198385,DAVIDSONCOLLEGE,Davidson,NC,5,35.500006,-80.845236,3,60921.0,,46966.0,46966.0,,0.9343,0.9507,0.9118,0.9474,0.9524,0.5,,1.0,0.9231,0.7742,0.2213,1355.0,31.0,Davidson College,Liberal Arts,"$46,100.00","$104,000.00",,"$70,500.00","$146,000.00",
128,2611,198464,EASTCAROLINAUNIVERSITY,Greenville,NC,5,35.606347,-77.366199,3,21040.0,,6580.0,22154.0,,0.6213,0.6289,0.5877,0.6019,0.5765,0.52,,0.5714,0.5294,0.6464,0.6904,1053.0,23.0,East Carolina University (ECU),State,"$40,200.00","$67,500.00","$38,400.00","$52,000.00","$98,700.00","$151,000.00"
129,2656,199120,UNIVERSITYOFNORTHCAROLINAATCHAPELHILL,Chapel Hill,NC,5,35.912165,-79.050969,3,23940.0,,8591.0,33673.0,,0.9019,0.916,0.8484,0.885,0.9213,0.8,,,0.7976,0.8889,0.3054,1343.0,31.0,University of North Carolina at Chapel Hill (UNCH),State,"$42,900.00","$81,500.00","$43,400.00","$57,500.00","$117,000.00","$155,000.00"
130,2657,199139,UNIVERSITYOFNORTHCAROLINAATCHARLOTTE,Charlotte,NC,5,35.306834,-80.73579000000002,3,18372.0,,6532.0,19703.0,,0.5336,0.5269,0.5472,0.5073,0.5329,0.7143,0.4,0.4627,0.6517,0.5847,0.6331,1093.0,24.0,University of North Carolina at Charlotte (UNCC),State,"$43,100.00","$74,000.00","$38,200.00","$53,200.00","$99,500.00","$133,000.00"
131,2708,200004,WESTERNCAROLINAUNIVERSITY,Cullowhee,NC,5,35.31110200000001,-83.18210400000002,3,18923.0,,6623.0,17016.0,,0.5747,0.5802,0.6121,0.6667,0.6364,0.5,,0.6,0.2,0.4828,0.4027,1032.0,22.0,Western Carolina University,State,"$36,900.00","$66,600.00","$39,000.00","$49,500.00","$94,400.00","$133,000.00"
132,2723,200280,UNIVERSITYOFNORTHDAKOTA,Grand Forks,ND,4,47.919774,-97.073451,3,20657.0,,7965.0,18899.0,,0.5416,0.5573,0.4,0.32,0.5625,0.25,1.0,0.625,0.4706,0.4884,0.8189,1088.0,24.0,University of North Dakota,State,"$44,000.00","$80,600.00","$43,400.00","$56,400.00","$111,000.00","$157,000.00"
133,2784,202134,CLEVELANDSTATEUNIVERSITY,Cleveland,OH,3,41.502918,-81.673052,3,21932.0,,9696.0,12938.0,,0.3878,0.4562,0.1619,0.4314,0.4444,0.4286,,,0.6364,0.3964,0.6408,1028.0,22.0,Cleveland State University,State,"$43,500.00","$73,100.00","$39,500.00","$51,600.00","$97,000.00","$137,000.00"
134,2794,202523,DENISONUNIVERSITY,Granville,OH,3,40.072582,-82.520625,3,58620.0,,47290.0,47290.0,,0.7982,0.8025,0.7551,0.65,0.8235,0.5,,0.8438,0.8372,,0.4789,,,Denison University,Liberal Arts,"$42,000.00","$83,500.00",,"$62,100.00","$122,000.00",
135,2865,204501,OBERLINCOLLEGE,Oberlin,OH,3,41.29474,-82.221786,3,64396.0,,50582.0,50582.0,,0.8755,0.8836,0.8276,0.8837,0.9063,0.75,,0.8936,0.7843,0.8,0.2878,1357.0,31.0,Oberlin College,Liberal Arts,"$43,400.00","$81,600.00",,"$46,400.00","$128,000.00",
136,2919,206084,UNIVERSITYOFTOLEDO,Toledo,OH,3,41.65795,-83.615225,3,22057.0,,9547.0,18885.0,,0.4073,0.5096,0.1723,0.3386,0.5616,0.2,0.1667,0.2366,0.6282,0.3478,0.932,1069.0,23.0,University of Toledo,State,"$43,100.00","$75,900.00","$40,100.00","$54,100.00","$100,000.00","$133,000.00"
137,2937,206525,WITTENBERGUNIVERSITY,Springfield,OH,3,39.937463,-83.814082,3,49790.0,,38090.0,38090.0,,0.6352,0.6759,0.3889,0.4545,1.0,0.5,,0.1818,0.8,0.5769,0.7686,,,Wittenberg University,Liberal Arts,"$39,200.00","$78,200.00",,"$54,100.00","$131,000.00",
138,3026,209056,LEWIS&CLARKCOLLEGE,Portland,OR,8,45.450547,-122.672478,3,57656.0,,45104.0,45104.0,,0.7247,0.688,0.7857,0.7576,0.7949,0.625,,0.8571,0.8333,0.7423,0.6283,,,Lewis & Clark College,Liberal Arts,"$38,900.00","$72,600.00","$38,200.00","$53,400.00","$104,000.00","$140,000.00"
139,3041,209542,OREGONSTATEUNIVERSITY,Corvallis,OR,8,44.56274000000001,-123.274721,3,24418.0,,10107.0,28767.0,,0.643,0.6438,0.4211,0.5475,0.7235,0.4359,0.4375,0.9565,0.6176,0.6787,0.7836,1113.0,25.0,Oregon State University (OSU),State,"$45,100.00","$83,300.00","$46,900.00","$64,000.00","$113,000.00","$146,000.00"
140,3042,209551,UNIVERSITYOFOREGON,Eugene,OR,8,44.044515,-123.07398,3,23373.0,,10289.0,32024.0,,0.7144,0.7143,0.5614,0.657,0.8029999999999999,0.5,0.7727,0.757,0.6828,0.7603,0.7422,1119.0,25.0,University of Oregon,State,"$42,200.00","$78,400.00","$38,100.00","$56,200.00","$117,000.00","$186,000.00"
141,3051,209807,PORTLANDSTATEUNIVERSITY,Portland,OR,8,45.511229,-122.683553,3,20130.0,,8034.0,24009.0,,0.4197,0.4127,0.2414,0.4316,0.4785,0.3182,0.3636,0.4483,0.4848,0.4255,0.8568,1039.0,22.0,Portland State University (PSU),State,"$42,600.00","$70,900.00","$40,700.00","$52,300.00","$94,400.00","$123,000.00"
142,3053,209922,REEDCOLLEGE,Portland,OR,8,45.480376,-122.63064,3,61795.0,,49940.0,49940.0,,0.8174,0.8446,0.4444,0.7742,0.72,1.0,,0.8235,0.7778,0.8493,0.3499,1383.0,31.0,Reed College,Liberal Arts,"$40,500.00","$81,100.00",,"$67,400.00","$101,000.00",
143,3097,211291,BUCKNELLUNIVERSITY,Lewisburg,PA,2,40.954489,-76.886275,3,63040.0,,50152.0,50152.0,,0.8989,0.9007,0.8438,0.8966,0.92,1.0,,1.0,0.8,0.9231,0.2478,1315.0,30.0,Bucknell University,Liberal Arts,"$54,100.00","$110,000.00","$62,800.00","$80,600.00","$156,000.00","$251,000.00"
144,3106,211440,CARNEGIEMELLONUNIVERSITY,Pittsburgh,PA,2,40.444616,-79.942914,3,63804.0,,50665.0,50665.0,,0.8777,0.8957,0.8,0.7872,0.9176,0.9,,,0.8313,0.8525,0.2372,1448.0,33.0,Carnegie Mellon University (CMU),Engineering,"$61,800.00","$111,000.00","$63,300.00","$80,100.00","$150,000.00","$209,000.00"
145,3148,212577,FRANKLINANDMARSHALLCOLLEGE,Lancaster,PA,2,40.048045,-76.319037,3,63172.0,,50400.0,50400.0,,0.868,0.8779,0.7222,0.8298,0.85,0.0,,0.9474,0.9268,0.5,0.3226,,,Franklin and Marshall College,Liberal Arts,"$49,100.00","$92,800.00",,"$55,800.00","$185,000.00",
146,3151,212674,GETTYSBURGCOLLEGE,Gettysburg,PA,2,39.836091,-77.23498199999997,3,60320.0,,49140.0,49140.0,,0.8347,0.843,0.8929,0.6957,1.0,1.0,,0.6667,0.8462,0.7606,0.3977,,,Gettysburg College,Liberal Arts,"$44,700.00","$85,800.00",,"$66,300.00","$132,000.00",
147,3168,213251,JUNIATACOLLEGE,Huntingdon,PA,2,40.499511,-78.015204,3,51507.0,,40600.0,40600.0,,0.735,0.7587,0.7692,0.6,1.0,0.5,,0.3333,0.5333,,0.7692,,,Juniata College,Liberal Arts,"$41,800.00","$78,900.00",,"$67,200.00","$110,000.00",
